CarType,Age,Price,Mileage,Mazda6,Accord,Maxima
Mazda6,3,15.9,17.8,1,0,0
Mazda6,2,16.4,19,1,0,0
Mazda6,1,18.9,20.9,1,0,0
Mazda6,2,16.9,24,1,0,0
Mazda6,2,20.5,24,1,0,0
Mazda6,1,19,24.2,1,0,0
Mazda6,2,17.5,30.1,1,0,0
Mazda6,3,18,32,1,0,0
Mazda6,3,13.6,34.8,1,0,0
Mazda6,4,12,35.7,1,0,0
Mazda6,4,10,49.5,1,0,0
Mazda6,3,17.9,50.9,1,0,0
Mazda6,3,17.8,51.1,1,0,0
Mazda6,3,16,51.7,1,0,0
Mazda6,3,14.6,53.6,1,0,0
Mazda6,1,14,55.5,1,0,0
Mazda6,7,8,66.2,1,0,0
Mazda6,8,8.5,70.2,1,0,0
Mazda6,6,9,70.5,1,0,0
Mazda6,7,7.8,71.5,1,0,0
Mazda6,10,6.8,76.7,1,0,0
Mazda6,13,5,90.7,1,0,0
Mazda6,14,4.5,105.8,1,0,0
Mazda6,8,5.6,108.1,1,0,0
Mazda6,13,2,109.1,1,0,0
Mazda6,10,5.8,124.8,1,0,0
Mazda6,13,5.2,128.5,1,0,0
Mazda6,14,3,131,1,0,0
Mazda6,10,9.9,133.8,1,0,0
Mazda6,13,5,137.2,1,0,0
Accord,7,12,74.9,0,1,0
Accord,4,17.9,53,0,1,0
Accord,4,15.7,79.1,0,1,0
Accord,7,12.5,50.1,0,1,0
Accord,9,9.5,62,0,1,0
Accord,1,21.5,4.8,0,1,0
Accord,18,3.5,89.4,0,1,0
Accord,2,22.8,20.8,0,1,0
Accord,2,26.8,4.8,0,1,0
Accord,5,13.6,48.3,0,1,0
Accord,2,19.4,46.5,0,1,0
Accord,2,19.5,3,0,1,0
Accord,6,9,64.1,0,1,0
Accord,3,17.4,8.3,0,1,0
Accord,3,17.8,27.1,0,1,0
Accord,2,17.5,20.3,0,1,0
Accord,4,13.5,68.4,0,1,0
Accord,14,7,86.9,0,1,0
Accord,9,11.6,64.5,0,1,0
Accord,10,7.9,150.5,0,1,0
Accord,5,11.7,65.2,0,1,0
Accord,3,15.6,56.1,0,1,0
Accord,12,5,139.4,0,1,0
Accord,3,21,13.9,0,1,0
Accord,4,15.6,18.6,0,1,0
Accord,2,17,15.7,0,1,0
Accord,3,16,38.5,0,1,0
Accord,3,17.6,19.8,0,1,0
Accord,11,6.9,119.3,0,1,0
Accord,13,5.5,122.5,0,1,0
Maxima,0,27,15.2,0,1,1
Maxima,3,16.5,24.1,0,0,1
Maxima,4,15.3,30,0,0,1
Maxima,4,15.7,34.4,0,0,1
Maxima,3,19.9,35.1,0,0,1
Maxima,4,15.5,35.3,0,0,1
Maxima,4,21,36.9,0,0,1
Maxima,1,21,37.5,0,0,1
Maxima,3,19.9,37.7,0,0,1
Maxima,1,20,38.6,0,0,1
Maxima,1,20,42.1,0,0,1
Maxima,4,15,42.3,0,0,1
Maxima,3,17.3,43.3,0,0,1
Maxima,7,17,44.9,0,0,1
Maxima,4,17.5,46.6,0,0,1
Maxima,8,12.5,50.3,0,0,1
Maxima,3,15.2,54.6,0,0,1
Maxima,5,13.8,58.5,0,0,1
Maxima,3,16.9,59.4,0,0,1
Maxima,3,18,57.4,0,0,1
Maxima,5,13,61.1,0,0,1
Maxima,7,13.8,65.8,0,0,1
Maxima,4,12.5,68.8,0,0,1
Maxima,4,13,69.1,0,0,1
Maxima,6,11.5,87.7,0,0,1
Maxima,10,9.5,93.3,0,0,1
Maxima,5,13,93.7,0,0,1
Maxima,7,11.8,98.3,0,0,1
Maxima,10,6,135.7,0,0,1
Maxima,10,4.8,122.9,0,0,1
