MaxGripStrength,SHR,Partners,Attractive,AgeFirstSex
44,1.352,36,2.333,15
58,1.349,4,2.375,15
57,1.431,5,1.857,14
48,1.405,6,2.125,18
34,1.307,3,2.5,14
46.5,1.363,4,3.25,15
55,1.218,3,1.625,16
49,1.136,0,1.375,NA
44.5,1.333,1,2.5,20
50.5,1.218,6,1.625,13
69.5,1.457,8,3.75,16
45.5,1.436,0,2.75,NA
42,1.409,8,1.875,15
34,1.247,3,2.5,15
66,1.545,6,3,16
42,1.249,0,1.25,NA
49.5,1.643,0,3,NA
39,1.269,2,1.875,17
42.5,1.310,2,2.875,18
50.5,1.127,4,3,17
47,1.342,8,2.625,16
37,1.368,2,2.625,17
46,1.277,1,1.75,17
32,1.186,0,2.125,NA
51.5,1.464,1,2.875,18
55,1.315,5,2.375,16
58.5,1.428,35,4,17
35,1.099,1,2.25,18
49.5,1.284,3,1.5,18
43.5,1.249,0,1.857,NA
54,1.363,11,3.125,15
37,1.377,8,2.625,14
55,1.475,8,2.75,15
68,1.259,16,2.5,17
44,1.402,4,2.75,15
50.5,1.182,1,2.75,17
38,1.087,0,1.625,NA
41,1.322,2,3,17
