HorseID,Price,Age,Height,Sex
97,38000,3,16.75,m
156,40000,5,17,m
56,10000,1,,m
139,12000,8,16,f
65,25000,4,16.25,m
184,35000,8,16.25,f
88,35000,5,16.5,m
182,12000,17,16.75,f
101,22000,4,17.25,m
135,25000,6,15.25,f
35,40000,7,16.75,m
39,25000,7,15.75,f
198,4500,14,16,f
107,19900,6,15.5,m
148,45000,3,15.75,f
102,45000,6,16.75,m
96,48000,6,16.5,m
71,15500,12,15.75,f
28,8500,7,16.25,f
30,22000,7,16.5,f
31,35000,5,16.25,m
60,16000,7,16.25,m
23,16000,3,16.25,m
115,15000,7,16.25,f
234,33000,4,16.5,m
132,20000,14,16.5,m
69,25000,6,17,m
141,30000,8,16.75,m
63,50000,6,16.75,m
164,1100,19,16.25,f
178,15000,0.5,14.25,f
4,45000,14,17,m
211,2000,20,16,f
89,20000,3,15.75,f
57,45000,5,16.5,m
200,20000,12,17,m
38,50000,7,17.25,m
2,50000,8,16.5,m
248,39000,11,17.25,m
27,20000,11,16.75,m
19,12000,6,16.5,f
129,15000,2,15,f
13,27500,5,16,f
206,12000,2,,f
236,6000,0.5,,f
179,15000,0.5,14.5,m
232,60000,13,16.75,m
152,50000,4,16.5,m
36,30000,9,16.5,m
249,40000,7,17.25,m
