ID,State,CivilWar,NoBank,Church,Teen
14,KY,B,9,41,62
12,MO,B,8.5,35,54
13,OK,B,11,39,69
3,AL,C,12.5,46,62
10,AR,C,9.7,45,73
7,FL,C,5.9,32,60
2,GA,C,11.9,39,64
5,LA,C,14,46,69
4,MS,C,12.6,47,76
11,NC,C,7.7,40,59
1,SC,C,8.9,42,65
9,TN,C,10.8,42,62
6,TX,C,9.4,39,73
8,VA,C,4.6,35,48
49,AK,O,3.5,26,64
39,AZ,O,8.5,33,60
46,CO,O,4.4,25,50
50,HI,O,2.4,25,65
43,ID,O,3.6,34,47
44,MT,O,4,27,53
36,ND,O,3,32,42
45,NE,O,5.1,35,43
38,NM,O,9.4,36,80
41,NV,O,8.9,27,68
37,SD,O,4.2,31,47
40,UT,O,3.9,51,38
42,WA,O,4.1,24,49
48,WV,O,8,34,64
47,WY,O,2.4,28,56
16,CA,U,6.2,28,59
29,CT,U,6.2,25,44
26,DE,U,4.8,35,67
18,IA,U,4.2,32,44
20,IL,U,7.1,32,57
23,IN,U,4.8,35,53
21,KS,U,7.6,33,53
35,MA,U,5.7,22,37
27,MD,U,4.8,31,57
34,ME,U,2.3,20,37
22,MI,U,6,32,52
17,MN,U,3.4,31,36
32,NH,U,1.8,20,28
28,NJ,U,7.4,30,51
30,NY,U,8,27,63
24,OH,U,5.8,32,54
15,OR,U,5.1,24,47
25,PA,U,4.7,32,49
31,RI,U,5,28,44
33,VT,U,1.5,17,42
19,WI,U,3.4,29,39
