Round,Time,Person
1,42,DJ
2,84,DJ
3,21,DJ
4,99,DJ
5,25,DJ
6,89,DJ
7,53,DJ
8,174,DJ
9,105,DJ
10,99,DJ
11,30,DJ
12,91,DJ
13,11,DJ
14,93,DJ
15,20,DJ
16,108,DJ
17,95,DJ
18,43,DJ
19,123,DJ
20,75,DJ
21,18,DJ
22,40,DJ
23,33,DJ
24,100,DJ
1,35,AR
2,26,AR
3,95,AR
4,41,AR
5,129,AR
6,62,AR
7,168,AR
8,47,AR
9,74,AR
10,46,AR
11,7,AR
12,210,AR
13,266,AR
14,7,AR
15,35,AR
16,61,AR
17,124,AR
18,27,AR
19,26,AR
20,58,AR
21,11,AR
22,10,AR
23,56,AR
24,18,AR
1,49,BK
2,65,BK
3,115,BK
4,66,BK
5,53,BK
6,80,BK
7,32,BK
8,161,BK
9,25,BK
10,60,BK
11,25,BK
12,69,BK
13,34,BK
14,21,BK
15,26,BK
16,13,BK
17,9,BK
18,9,BK
19,13,BK
20,50,BK
21,10,BK
22,119,BK
23,20,BK
24,27,BK
1,104,JW
2,101,JW
3,53,JW
4,123,JW
5,144,JW
6,247,JW
7,210,JW
8,164,JW
9,135,JW
10,66,JW
11,399,JW
12,219,JW
13,436,JW
14,235,JW
15,244,JW
16,133,JW
17,68,JW
18,230,JW
19,105,JW
20,103,JW
21,40,JW
22,39,JW
23,244,JW
24,91,JW
1,15,TS
2,17,TS
3,66,TS
4,6,TS
5,6,TS
6,17,TS
7,7,TS
8,5,TS
9,14,TS
10,13,TS
11,107,TS
12,7,TS
13,75,TS
14,5,TS
15,19,TS
16,25,TS
17,5,TS
18,5,TS
19,6,TS
20,13,TS
21,8,TS
22,6,TS
23,6,TS
24,11,TS
1,40,RL
2,143,RL
3,103,RL
4,144,RL
5,162,RL
6,55,RL
7,37,RL
8,36,RL
9,118,RL
10,112,RL
11,17,RL
12,65,RL
13,27,RL
14,53,RL
15,120,RL
16,13,RL
17,35,RL
18,52,RL
19,41,RL
20,38,RL
21,88,RL
22,51,RL
23,38,RL
24,23,RL
1,26,DR
2,43,DR
3,113,DR
4,16,DR
5,113,DR
6,369,DR
7,184,DR
8,138,DR
9,102,DR
10,21,DR
11,55,DR
12,62,DR
13,108,DR
14,23,DR
15,94,DR
16,90,DR
17,95,DR
18,72,DR
19,32,DR
20,57,DR
21,20,DR
22,46,DR
23,13,DR
24,31,DR
1,101,MF
2,16,MF
3,88,MF
4,79,MF
5,48,MF
6,2,MF
7,50,MF
8,84,MF
9,163,MF
10,144,MF
11,27,MF
12,1,MF
13,76,MF
14,187,MF
15,19,MF
16,40,MF
17,171,MF
18,3,MF
19,18,MF
20,86,MF
21,27,MF
22,59,MF
23,41,MF
24,2,MF
