Funnel,Tube,Drop
8,8,15.3
8,8,15.2
8,8,14.7
8,8,11.6
8,8,15.7
8,8,11.6
8,8,10.1
8,8,16.8
8,8,15.4
8,8,13.6
11,8,10.4
11,8,18.2
11,8,12.1
11,8,16.7
11,8,17.5
11,8,13.2
11,8,13.6
11,8,19.1
11,8,18.7
11,8,16.7
14,8,12.8
14,8,14.7
14,8,12.7
14,8,14.6
14,8,14.9
14,8,12.3
14,8,10.6
14,8,13.3
14,8,10.8
14,8,14.7
16,8,11.4
16,8,13.9
16,8,12.8
16,8,14
16,8,14.7
16,8,15.1
16,8,12.5
16,8,13.2
16,8,17.1
16,8,10.8
8,11,13.9
8,11,13.4
8,11,12.4
8,11,16
8,11,11
8,11,16.8
8,11,18.9
8,11,10.2
8,11,14.1
8,11,14.7
11,11,19.6
11,11,15
11,11,19
11,11,18.8
11,11,23.6
11,11,19.2
11,11,17.3
11,11,16.5
11,11,18.7
11,11,19.2
14,11,13.9
14,11,15.3
14,11,18.4
14,11,21.4
14,11,14.4
14,11,11.7
14,11,16.3
14,11,14.7
14,11,18.9
14,11,22.2
16,11,17
16,11,18.6
16,11,15.1
16,11,16.4
16,11,17.5
16,11,15.7
16,11,15
16,11,17.4
16,11,20.2
16,11,15.5
8,14,12.9
8,14,10.8
8,14,13.2
8,14,15.7
8,14,10.6
8,14,8.2
8,14,10.3
8,14,12.8
8,14,12.2
8,14,15.3
11,14,15.6
11,14,16.1
11,14,17.2
11,14,17.5
11,14,19.9
11,14,17.7
11,14,19.2
11,14,14.4
11,14,14.7
11,14,14.7
14,14,18.4
14,14,10.8
14,14,14.9
14,14,17.2
14,14,13.1
14,14,15.4
14,14,21.6
14,14,14.9
14,14,18.4
14,14,18
16,14,13.4
16,14,19.9
16,14,17.7
16,14,16.6
16,14,13.9
16,14,10.2
16,14,16.1
16,14,10.2
16,14,11.6
16,14,14
