Species,Order,Wt,Skull,Palate
Coyote,Carnivora,14.5,19.7,9.47
Grizzly bear,Carnivora,306,41.1,20.3
Wolverine,Carnivora,15,16.7,8.24
Lion,Carnivora,175,37.4,18.1
Leopard,Carnivora,50.3,22.6,9.41
Gray Wolf,Carnivora,33,27.8,13.6
Kit fox,Carnivora,1.82,11.39,5.78
Fennec Fox,Carnivora,1.25,8.86,4.25
Tiger,Carnivora,113,32.7,15.2
Jaguar,Carnivora,89,26.2,10.98
Cougar,Carnivora,70.9,21.3,8.4
Maned wolf,Carnivora,23.8,22.7,10.78
Fisher,Carnivora,6.8,13.06,6.29
Leopard seal,Carnivora,270,28.6,12.6
Gorilla,Primates,170,30.8,11.82
Baboon,Primates,32.5,16.7,7.31
Mouse lemur,Primates,0.07,3.19,1.33
Bush-baby,Primates,0.21,4.45,1.59
Capuhcin,Primates,2.2,9.8,3.55
Black howler,Primates,6.7,12.88,4.89
Macaque,Primates,3.82,10.9,4.53
Proboscis monkey,Primates,14,12.16,4.54
Orangutan,Primates,54.4,23.95,10.3
Dwarf lemur,Primates,0.389,5.68,2.44
Avahi,Primates,0.9,5.44,1.5
Sportive lemur,Primates,0.7,4.94,1.73
Potto,Primates,1.2,6.36,2.25
Monk saki,Primates,1.2,8.95,3.3
