Contacts,Sex,Genotype
22,F,Mixed
23,M,Plus
18,M,Mixed
15,F,Plus
19,M,Mixed
2,F,Minus
15,M,Minus
12,M,Minus
15,M,Plus
19,M,Plus
20,M,Plus
15,F,Mixed
18,F,Mixed
25,M,Plus
16,F,Plus
14,M,Mixed
26,F,Plus
14,F,Mixed
20,F,Mixed
23,F,Mixed
29,F,Mixed
19,M,Mixed
16,F,Minus
17,M,Plus
22,M,Plus
17,F,Plus
27,M,Mixed
24,M,Mixed
26,M,Mixed
21,F,Plus
16,M,Minus
16,F,Mixed
16,F,Mixed
15,M,Mixed
5,F,Plus
12,M,Plus
11,M,Plus
19,F,Mixed
12,M,Mixed
11,F,Plus
11,F,Minus
11,F,Minus
15,M,Minus
11,F,Minus
19,M,Plus
15,F,Plus
18,F,Minus
24,F,Plus
