ID,Partners,Type,Longevity,Thorax,Sleep,Treatment
1,8,0,35,0.64,22,8 pregnant
2,8,0,37,0.68,9,8 pregnant
3,8,0,49,0.68,49,8 pregnant
4,8,0,46,0.72,1,8 pregnant
5,8,0,63,0.72,23,8 pregnant
6,8,0,39,0.76,83,8 pregnant
7,8,0,46,0.76,23,8 pregnant
8,8,0,56,0.76,15,8 pregnant
9,8,0,63,0.76,9,8 pregnant
10,8,0,65,0.76,81,8 pregnant
11,8,0,56,0.8,12,8 pregnant
12,8,0,65,0.8,15,8 pregnant
13,8,0,70,0.8,37,8 pregnant
14,8,0,63,0.84,24,8 pregnant
15,8,0,65,0.84,26,8 pregnant
16,8,0,70,0.84,17,8 pregnant
17,8,0,77,0.84,14,8 pregnant
18,8,0,81,0.84,14,8 pregnant
19,8,0,86,0.84,6,8 pregnant
20,8,0,70,0.88,25,8 pregnant
21,8,0,70,0.88,18,8 pregnant
22,8,0,77,0.92,26,8 pregnant
23,8,0,77,0.92,24,8 pregnant
24,8,0,81,0.92,29,8 pregnant
25,8,0,77,0.94,27,8 pregnant
1,0,9,40,0.64,18,none
2,0,9,37,0.7,6,none
3,0,9,44,0.72,19,none
4,0,9,47,0.72,7,none
5,0,9,47,0.72,16,none
6,0,9,47,0.76,13,none
7,0,9,68,0.78,35,none
8,0,9,47,0.8,2,none
9,0,9,54,0.84,35,none
10,0,9,61,0.84,6,none
11,0,9,71,0.84,15,none
12,0,9,75,0.84,14,none
13,0,9,89,0.84,18,none
14,0,9,58,0.88,50,none
15,0,9,59,0.88,25,none
16,0,9,62,0.88,10,none
17,0,9,79,0.88,33,none
18,0,9,96,0.88,43,none
19,0,9,58,0.92,35,none
20,0,9,62,0.92,17,none
21,0,9,70,0.92,27,none
22,0,9,72,0.92,22,none
23,0,9,75,0.92,16,none
24,0,9,96,0.92,20,none
25,0,9,75,0.94,37,none
1,1,0,46,0.64,23,1 pregnant
2,1,0,42,0.68,4,1 pregnant
3,1,0,65,0.72,20,1 pregnant
4,1,0,46,0.76,42,1 pregnant
5,1,0,58,0.76,9,1 pregnant
6,1,0,42,0.8,32,1 pregnant
7,1,0,48,0.8,66,1 pregnant
8,1,0,58,0.8,28,1 pregnant
9,1,0,50,0.82,10,1 pregnant
10,1,0,80,0.82,4,1 pregnant
11,1,0,63,0.84,12,1 pregnant
12,1,0,65,0.84,17,1 pregnant
13,1,0,70,0.84,12,1 pregnant
14,1,0,70,0.84,23,1 pregnant
15,1,0,72,0.84,40,1 pregnant
16,1,0,97,0.84,18,1 pregnant
17,1,0,46,0.88,10,1 pregnant
18,1,0,56,0.88,38,1 pregnant
19,1,0,70,0.88,7,1 pregnant
20,1,0,70,0.88,23,1 pregnant
21,1,0,72,0.88,36,1 pregnant
22,1,0,76,0.88,9,1 pregnant
23,1,0,90,0.88,21,1 pregnant
24,1,0,76,0.92,62,1 pregnant
25,1,0,92,0.92,36,1 pregnant
1,1,1,21,0.68,23,1 virgin
2,1,1,40,0.68,62,1 virgin
3,1,1,44,0.72,28,1 virgin
4,1,1,54,0.76,18,1 virgin
5,1,1,36,0.78,10,1 virgin
6,1,1,40,0.8,28,1 virgin
7,1,1,56,0.8,22,1 virgin
8,1,1,60,0.8,29,1 virgin
9,1,1,48,0.84,15,1 virgin
10,1,1,53,0.84,73,1 virgin
11,1,1,60,0.84,10,1 virgin
12,1,1,60,0.84,5,1 virgin
13,1,1,65,0.84,13,1 virgin
14,1,1,68,0.84,27,1 virgin
15,1,1,60,0.88,20,1 virgin
16,1,1,81,0.88,21,1 virgin
17,1,1,81,0.88,12,1 virgin
18,1,1,48,0.9,49,1 virgin
19,1,1,48,0.9,17,1 virgin
20,1,1,56,0.9,22,1 virgin
21,1,1,68,0.9,71,1 virgin
22,1,1,75,0.9,17,1 virgin
23,1,1,81,0.9,10,1 virgin
24,1,1,48,0.92,24,1 virgin
25,1,1,68,0.92,18,1 virgin
1,8,1,16,0.64,34,8 virgin
2,8,1,19,0.64,6,8 virgin
3,8,1,19,0.68,4,8 virgin
4,8,1,32,0.72,22,8 virgin
5,8,1,33,0.72,28,8 virgin
6,8,1,33,0.74,31,8 virgin
7,8,1,30,0.76,16,8 virgin
8,8,1,42,0.76,27,8 virgin
9,8,1,42,0.76,8,8 virgin
10,8,1,33,0.78,32,8 virgin
11,8,1,26,0.8,20,8 virgin
12,8,1,30,0.8,35,8 virgin
13,8,1,40,0.82,12,8 virgin
14,8,1,54,0.82,14,8 virgin
15,8,1,34,0.84,17,8 virgin
16,8,1,34,0.84,29,8 virgin
17,8,1,47,0.84,31,8 virgin
18,8,1,47,0.84,6,8 virgin
19,8,1,42,0.88,30,8 virgin
20,8,1,47,0.88,27,8 virgin
21,8,1,54,0.88,40,8 virgin
22,8,1,54,0.88,19,8 virgin
23,8,1,56,0.88,8,8 virgin
24,8,1,60,0.88,8,8 virgin
25,8,1,44,0.92,15,8 virgin
